,3.5,4.5,5.5,6.5
781,251,253,253,253
782,251,253,253,253
783,251,253,253,253
784,252,253,253,253
785,252,253,253,253
786,254,253,253,253
787,252,253,253,253
788,254,253,253,253
789,252,253,253,253
790,254,253,253,253
791,252,253,253,253
792,254,253,253,253
793,252,253,253,253
794,254,253,253,253
795,252,253,253,253
796,254,253,253,253
797,252,253,253,253
798,254,253,253,253
799,252,253,253,253
800,251,253,253,253
801,251,253,253,253
802,251,253,253,253
803,251,253,253,253
804,251,253,253,253
805,251,253,253,253
806,251,253,253,253
807,251,253,253,253
808,251,250,253,253
809,251,250,253,253
810,251,251,253,253
811,251,251,253,253
812,251,252,253,253
813,251,252,253,253
814,251,252,253,253
815,251,252,253,253
816,254,251,253,253
817,254,251,253,253
818,254,252,253,253
819,254,252,253,253
820,254,252,253,253
821,254,252,253,253
822,254,252,253,253
823,254,252,253,253
824,255,253,253,253
825,255,253,253,253
826,255,252,253,253
827,255,252,253,253
828,255,252,253,253
829,255,253,253,253
830,255,254,253,253
831,255,254,253,253
832,255,253,253,253
833,255,253,253,253
834,255,252,253,253
835,255,252,253,253
836,255,252,253,253
837,255,252,253,253
838,255,253,253,253
839,255,253,253,253
840,255,254,253,253
841,255,254,253,253
842,255,254,253,253
843,255,253,253,253
844,255,253,253,253
845,255,252,253,253
846,255,252,253,253
847,255,251,253,253
848,254,252,253,253
849,254,252,253,253
850,253,252,253,253
851,253,252,253,253
852,252,252,253,253
853,251,252,253,253
854,251,252,253,253
855,251,252,253,253
856,250,249,253,253
857,250,249,253,253
858,250,249,253,253
859,250,249,253,253
860,250,249,253,253
861,250,249,253,253
862,250,249,253,253
863,250,249,253,253
864,251,247,253,253
865,251,247,253,253
866,251,248,253,253
867,251,249,253,253
868,251,249,253,253
869,251,250,253,253
870,251,251,253,253
871,251,251,253,253
872,250,250,253,253
873,248,250,253,253
874,248,250,253,253
875,248,250,253,253
876,248,250,253,253
877,248,250,253,253
878,248,250,253,253
879,248,250,253,253
880,247,254,253,253
881,247,254,253,253
882,247,254,253,253
883,247,254,253,253
884,248,254,253,253
885,248,254,253,253
886,248,254,253,253
887,248,254,253,253
888,249,253,253,253
889,249,253,253,253
890,249,253,253,253
891,249,253,253,253
892,249,253,253,253
893,249,253,253,253
894,249,253,253,253
895,249,253,253,253
896,250,253,253,253
897,250,253,253,253
898,250,253,253,253
899,250,253,253,253
900,250,253,253,253
901,250,253,253,253
902,250,253,253,253
903,250,253,253,253
